Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1/1/2019,74,22211,7679732,350,344,346
1/2/2019,55,7467,2579702,347,345,345
1/3/2019,34,7294,2525136,348,340,345
1/6/2019,47,9776,3397795,352,344,344
1/7/2019,19,2680,927285,350,344,346
1/8/2019,43,8069,2806308,349,346,349
1/9/2019,46,8599,3009488,351,348,348
1/10/2019,28,4955,1731162,354,348,350
1/13/2019,139,22250,7819638,357,346,349
1/14/2019,55,20430,7119464,351,348,350
1/15/2019,30,7663,2680602,350,348,350
